study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,log_sev,vi_sev,n2,n3,design
309,2017,DECIOLÂNDIA,MT,3,PICO + CYPR,65.375,2472.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,4.180139922385087,7.416976517790296e-5,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PYRA + EPOX + FLUX,48.75,2878.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,3.886705197443856,1.3338318014034594e-4,9,9,1
309,2017,DECIOLÂNDIA,MT,3,AACHECK,95.25,2269,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,4.55650501400681,3.4939793917351455e-5,9,9,1
309,2017,DECIOLÂNDIA,MT,3,AZOX + BENZ,29.375,2935,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,3.380143972464323,3.6736227613121987e-4,9,9,1
309,2017,DECIOLÂNDIA,MT,3,TFLX + PROT,39.875,2714.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,3.6857495611050086,1.9936499935482765e-4,9,9,1
309,2017,DECIOLÂNDIA,MT,3,BIXF + TFLX + PROT,29.325,2905.5,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,3.378440394539539,3.686160713842542e-4,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PICO + TEBU,59.5,2523,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,4.085976312551584,8.953985285002214e-5,9,9,1
309,2017,DECIOLÂNDIA,MT,3,TFLX + CYPR,61.5,2449.5,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,4.119037174812473,8.381081738443807e-5,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PICO + BENZ,8.175,3075,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,2.101080716783317,0.004743236563361346,9,9,1
310,2017,LONDRINA,PR,3,PICO + CYPR,25.075,3241.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,3.221871333847999,0.010857974474952996,9,9,1
310,2017,LONDRINA,PR,3,PYRA + EPOX + FLUX,17.425,3182.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,2.8579059566465874,0.022484597946050792,9,9,1
